subject_id,title,rating,genre,release_year,duration,summary,country,directors,detail_url,comment_len
1291572,指环王2：双塔奇兵,9.2,剧情 动作 奇幻 冒险/美国 新西兰/西恩... 2002,2002,0,,美国 新西兰/剧情 动作 奇幻 冒险,彼得·杰克逊/Peter/Jackson,https://movie.douban.com/subject/1291572/,0
1291548,死亡诗社,9.2,剧情/罗伯... 1989/美国,1989,0,,美国/剧情,彼得·威尔/Peter/Weir,https://movie.douban.com/subject/1291548/,0
1299398,大话西游之月光宝盒,9.0,中国香港 中国大陆/喜剧 爱情 奇幻 古装,1995,0,,中国香港 中国大陆/喜剧 爱情 奇幻 古装,刘镇伟/Jeffrey/Lau,https://movie.douban.com/subject/1299398/,0
27060077,绿皮书,8.9,... 2018/剧情 喜剧 传记 音乐/美国 中国大陆,2018,0,,美国 中国大陆/剧情 喜剧 传记 音乐,彼得·法雷里/Peter/Farrelly,https://movie.douban.com/subject/27060077/,0
30170448,何以为家,9.1,... 2018/剧情,2018,0,,剧情,娜丁·拉巴基/Nadine/Labaki,https://movie.douban.com/subject/30170448/,0
1298624,闻香识女人,9.1,克里斯... 1992/剧情/美国,1992,0,,美国/剧情,马丁·布莱斯/Martin/Brest,https://movie.douban.com/subject/1298624/,0
1418019,大闹天宫,9.4,1964(中国大陆)/1978(中国大陆)/中国大陆/剧情 动画 奇幻 古装,1961,0,,中国大陆/剧情 动画 奇幻 古装,万籁鸣/Laiming/Wan,https://movie.douban.com/subject/1418019/,0
1291843,黑客帝国,9.1,动作 科幻/美国,1999,0,,美国/动作 科幻,,https://movie.douban.com/subject/1291843/,0
1291571,指环王1：护戒使者,9.1,剧情 动作 奇幻 冒险/新西兰 美国 英国/西恩... 2001,2001,0,,新西兰 美国 英国/剧情 动作 奇幻 冒险,彼得·杰克逊/Peter/Jackson,https://movie.douban.com/subject/1291571/,0
1293839,罗马假日,9.1,喜剧 剧情 爱情/格... 1953/美国,1953,0,,美国/喜剧 剧情 爱情,威廉·惠勒/William/Wyler,https://movie.douban.com/subject/1293839/,0
1299131,教父2,9.3,剧情 犯罪/美国,1974,0,,美国/剧情 犯罪,弗朗西斯·福特·科波拉/Francis/Ford,https://movie.douban.com/subject/1299131/,0
1301753,狮子王,9.1,动画 冒险 歌舞/美国,1994,0,,美国/动画 冒险 歌舞,Roger/Allers,https://movie.douban.com/subject/1301753/,0
1291828,天堂电影院,9.2,剧情 爱情/意大利 法国,1988,0,,意大利 法国/剧情 爱情,朱塞佩·托纳多雷/Giuseppe/Tornatore,https://movie.douban.com/subject/1291828/,0
1291818,饮食男女,9.2,中国台湾 美国/剧情 家庭/吴... 1994,1994,0,,中国台湾 美国/剧情 家庭,李安/Ang/Lee,https://movie.douban.com/subject/1291818/,0
21937445,辩护人,9.2,剧情/韩国,2013,0,,韩国/剧情,杨宇硕/Woo-seok/Yang,https://movie.douban.com/subject/21937445/,0
1485260,本杰明·巴顿奇事,9.0,凯特·布... 2008/剧情 爱情 奇幻/美国,2008,0,,美国/剧情 爱情 奇幻,大卫·芬奇/David/Fincher,https://movie.douban.com/subject/1485260/,0
